African Methodist Episcopal Church,Black Protestant,Methodist/Pietist,5,"1,399",4.1
American Baptist Churches in the USA,Mainline Protestant,Baptist,7,"1,770",5.1
"Antiochian Orthodox Christian Archdiocese of North America, The",Orthodox,Eastern Liturgical (Orthodox),1,63,0.2
Armenian Church of North America (Catholicosate of Etchmiadzin),Orthodox,Eastern Liturgical (Orthodox),1,30,0.1
Assemblies of God,Evangelical Protestant,Pentecostal,13,"1,375",4
Bahá'í,Other,Other Groups,3,358,1
"Buddhism, Mahayana",Other,Other Groups,4,300,0.9
"Buddhism, Theravada",Other,Other Groups,3,295,0.9
"Buddhism, Vajrayana",Other,Other Groups,2,180,0.5
Calvary Chapel Fellowship Churches,Evangelical Protestant,Pentecostal,1,---,---
Catholic Church,Catholic,Catholicism,14,"42,603",123.6
"Christian and Missionary Alliance, The",Evangelical Protestant,Holiness,2,104,0.3
Christian Church (Disciples of Christ),Mainline Protestant,Restoration Movement,1,104,0.3
Christian Churches and Churches of Christ,Evangelical Protestant,Restoration Movement,1,42,0.1
Christian Reformed Church in North America,Evangelical Protestant,Presbyterian-Reformed,4,930,2.7
"Church of Christ, Scientist",Other,Christian Science,1,---,---
"Church of God (Anderson, Indiana)",Evangelical Protestant,Holiness,2,510,1.5
"Church of God (Cleveland, Tennessee)",Evangelical Protestant,Pentecostal,2,"1,233",3.6
Church of God in Christ,Black Protestant,Pentecostal,11,"2,356",6.8
Church of God of Prophecy,Evangelical Protestant,Pentecostal,1,18,0.1
"Church of Jesus Christ of Latter-day Saints, The",Other,Latter-day Saints,7,"2,929",8.5
"Church of Our Lord Jesus Christ of the Apostolic Faith, Inc.",Black Protestant,Pentecostal,1,---,---
Church of the Brethren,Evangelical Protestant,European Free-Church,1,50,0.1
Church of the Nazarene,Evangelical Protestant,Holiness,4,192,0.6
Churches of Christ,Evangelical Protestant,Restoration Movement,6,825,2.4
Community of Christ,Other,Latter-day Saints,1,167,0.5
Conservative Judaism,Other,Judaism,1,"1,234",3.6
Converge Worldwide/Baptist General Conference,Evangelical Protestant,Baptist,1,90,0.3
Coptic Orthodox Church,Orthodox,Eastern Liturgical (Orthodox),1,125,0.4
Episcopal Church,Mainline Protestant,Episcopalianism/Anglicanism,8,"2,264",6.6
"Evangelical Covenant Church, The",Evangelical Protestant,Methodist/Pietist,1,129,0.4
Evangelical Friends Church International*,Evangelical Protestant,European Free-Church,1,48,0.1
Evangelical Lutheran Church in America,Mainline Protestant,Lutheran,8,"4,079",11.8
Evangelical Presbyterian Church,Evangelical Protestant,Presbyterian-Reformed,2,756,2.2
Free Methodist Church of North America,Evangelical Protestant,Holiness,5,846,2.5
Friends General Conference*,Mainline Protestant,European Free-Church,2,157,0.5
General Association of Regular Baptist Churches,Evangelical Protestant,Baptist,1,---,---
Greek Orthodox Archdiocese of America,Orthodox,Eastern Liturgical (Orthodox),1,400,1.2
"Hindu, Indian-American Hindu Temple Assoc.",Other,Other Groups,1,250,0.7
"Hindu, Post Renaissance",Other,Other Groups,3,112,0.3
Independent Baptist Fellowship International,Evangelical Protestant,Baptist,1,---,---
Independent Fundamental Churches of America,Evangelical Protestant,Ind. Fundamentalist,2,---,---
Jehovah's Witnesses,Other,Adventist,6,---,---
Lutheran Church--Missouri Synod,Evangelical Protestant,Lutheran,9,"4,287",12.4
Lutheran Congregations in Mission for Christ,Evangelical Protestant,Lutheran,1,---,---
Mennonite Church USA,Evangelical Protestant,European Free-Church,2,62,0.2
"Metropolitan Community Churches, Universal Fellowship of",Mainline Protestant,Other Groups,1,18,0.1
Muslim Estimate,Other,Other Groups,3,"4,463",12.9
National Association of Congregational Christian Churches,Mainline Protestant,Presbyterian-Reformed,1,896,2.6
National Association of Free Will Baptists,Evangelical Protestant,Baptist,5,601,1.7
"National Baptist Convention, USA, Inc.",Black Protestant,Baptist,5,"1,381",4
"New Apostolic Church of North America, National Organization of the",Other,Other Groups,1,---,---
Non-denominational,Evangelical Protestant,,,,
----,,,,,
19,"5,418",15.7,,,
Pentecostal Church of God,Evangelical Protestant,Pentecostal,3,326,0.9
Presbyterian Church (U.S.A.),Mainline Protestant,Presbyterian-Reformed,7,"3,606",10.5
Presbyterian Church in America,Evangelical Protestant,Presbyterian-Reformed,1,69,0.2
"Progressive National Baptist Convention, Inc.",Black Protestant,Baptist,1,238,0.7
Reconstructionist Judaism,Other,Judaism,1,127,0.4
Reform Judaism,Other,Judaism,1,"1,809",5.2
Reformed Church in America,Mainline Protestant,Presbyterian-Reformed,1,241,0.7
Russian Orthodox Church Outside of Russia,Orthodox,Eastern Liturgical (Orthodox),1,300,0.9
Salvation Army,Evangelical Protestant,Holiness,2,270,0.8
Seventh-day Adventist Church,Evangelical Protestant,Adventist,5,748,2.2
Southern Baptist Convention,Evangelical Protestant,Baptist,12,"2,699",7.8
Union of Messianic Jewish Congregations,Other,Judaism,1,---,---
Unitarian Universalist Association of Congregations,Other,Liberal,2,849,2.5
United Church of Christ,Mainline Protestant,Presbyterian-Reformed,13,"3,702",10.7
"United Methodist Church, The",Mainline Protestant,Methodist/Pietist,17,"9,039",26.2
United Pentecostal Church International,Evangelical Protestant,Pentecostal,3,---,---
"Unity Churches, Association of",Other,Other Groups,2,---,---
Vineyard USA,Evangelical Protestant,Pentecostal,1,"1,268",3.7
"Wesleyan Church, The",Evangelical Protestant,Holiness,2,908,2.6
Wisconsin Evangelical Lutheran Synod,Evangelical Protestant,Lutheran,6,"1,535",4.5
Zoroastrian,Other,Other Groups,0,13,0
