African Methodist Episcopal Church,Black Protestant,Methodist/Pietist,3,726,0.9
African Methodist Episcopal Zion Church,Black Protestant,Methodist/Pietist,1,112,0.1
Alliance of Baptists,Mainline Protestant,Baptist,1,---,---
American Baptist Churches in the USA,Mainline Protestant,Baptist,13,"4,930",6.1
"Antiochian Orthodox Christian Archdiocese of North America, The",Orthodox,Eastern Liturgical (Orthodox),1,"1,000",1.2
Armenian Apostolic Church of America (Catholicosate of Cilicia),Orthodox,Eastern Liturgical (Orthodox),1,360,0.4
Armenian Church of North America (Catholicosate of Etchmiadzin),Orthodox,Eastern Liturgical (Orthodox),1,"1,800",2.2
Armenian Evangelical Churches (Additional),Evangelical Protestant,Presbyterian-Reformed,1,---,---
Assemblies of God,Evangelical Protestant,Pentecostal,19,"4,193",5.2
Bahá'í,Other,Other Groups,1,790,1
"Buddhism, Mahayana",Other,Other Groups,28,"14,020",17.4
"Buddhism, Theravada",Other,Other Groups,2,"2,729",3.4
"Buddhism, Vajrayana",Other,Other Groups,10,991,1.2
Calvary Chapel Fellowship Churches,Evangelical Protestant,Pentecostal,2,---,---
Catholic Church,Catholic,Catholicism,50,"120,988",150.3
"Christian and Missionary Alliance, The",Evangelical Protestant,Holiness,2,681,0.8
Christian Church (Disciples of Christ),Mainline Protestant,Restoration Movement,2,82,0.1
Christian Churches and Churches of Christ,Evangelical Protestant,Restoration Movement,1,34,0
Christian Methodist Episcopal Church,Black Protestant,Methodist/Pietist,2,514,0.6
Christian Reformed Church in North America,Evangelical Protestant,Presbyterian-Reformed,1,348,0.4
"Church of Christ (Holiness), U.S.A.",Evangelical Protestant,Holiness,2,---,---
"Church of Christ, Scientist",Other,Christian Science,4,---,---
"Church of God (Anderson, Indiana)",Evangelical Protestant,Holiness,1,65,0.1
"Church of God (Cleveland, Tennessee)",Evangelical Protestant,Pentecostal,5,491,0.6
Church of God in Christ,Black Protestant,Pentecostal,12,"1,179",1.5
Church of God of Prophecy,Evangelical Protestant,Pentecostal,2,178,0.2
"Church of Jesus Christ of Latter-day Saints, The",Other,Latter-day Saints,5,"5,923",7.4
"Church of Our Lord Jesus Christ of the Apostolic Faith, Inc.",Black Protestant,Pentecostal,2,---,---
Church of the Nazarene,Evangelical Protestant,Holiness,9,582,0.7
Churches of Christ,Evangelical Protestant,Restoration Movement,7,827,1
Community of Christ,Other,Latter-day Saints,1,158,0.2
Conservative Baptist Association of America,Evangelical Protestant,Baptist,1,---,---
Conservative Judaism,Other,Judaism,3,"1,685",2.1
Converge Worldwide/Baptist General Conference,Evangelical Protestant,Baptist,3,270,0.3
Cumberland Presbyterian Church,Evangelical Protestant,Presbyterian-Reformed,3,901,1.1
Episcopal Church,Mainline Protestant,Episcopalianism/Anglicanism,18,"6,145",7.6
"Evangelical Covenant Church, The",Evangelical Protestant,Methodist/Pietist,5,477,0.6
"Evangelical Free Church of America, The",Evangelical Protestant,Methodist/Pietist,3,550,0.7
Evangelical Lutheran Church in America,Mainline Protestant,Lutheran,9,"1,590",2
"Foursquare Gospel, International Church of the",Evangelical Protestant,Pentecostal,3,191,0.2
Free Methodist Church of North America,Evangelical Protestant,Holiness,2,90,0.1
Full Gospel Baptist Church Fellowship,Black Protestant,Baptist,2,---,---
Fundamental Baptist Fellowship,Evangelical Protestant,Baptist,1,---,---
"Grace Brethren Churches, Fellowship of",Mainline Protestant,European Free-Church,1,---,---
Greek Orthodox Archdiocese of America,Orthodox,Eastern Liturgical (Orthodox),2,"3,600",4.5
"Hindu, Indian-American Hindu Temple Assoc.",Other,Other Groups,1,"1,742",2.2
"Hindu, Post Renaissance",Other,Other Groups,8,268,0.3
"Hindu, Renaissance",Other,Other Groups,5,"1,048",1.3
Independent Yearly Meetings of Friends*,Mainline Protestant,European Free-Church,1,102,0.1
International Council of Community Churches,Mainline Protestant,Presbyterian-Reformed,2,---,---
International Pentecostal Holiness Church,Evangelical Protestant,Pentecostal,1,28,0
Jehovah's Witnesses,Other,Adventist,12,---,---
Korean Presbyterian Church in America,Evangelical Protestant,Presbyterian-Reformed,3,---,---
Korean-American Presbyterian Church,Evangelical Protestant,Presbyterian-Reformed,2,---,---
Lutheran Church--Missouri Synod,Evangelical Protestant,Lutheran,8,"1,812",2.3
Lutheran Congregations in Mission for Christ,Evangelical Protestant,Lutheran,1,222,0.3
Mennonite Church USA,Evangelical Protestant,European Free-Church,2,118,0.1
"Metropolitan Community Churches, Universal Fellowship of",Mainline Protestant,Other Groups,1,302,0.4
Muslim Estimate,Other,Other Groups,6,"6,654",8.3
"National Baptist Convention of America, Inc.",Black Protestant,Baptist,9,"1,425",1.8
"National Baptist Convention, USA, Inc.",Black Protestant,Baptist,16,"8,326",10.3
"National Missionary Baptist Convention, Inc.",Black Protestant,Baptist,4,894,1.1
National Spiritualist Association of Churches,Other,Spiritualist,3,---,---
"New Apostolic Church of North America, National Organization of the",Other,Other Groups,1,---,---
Non-denominational,Evangelical Protestant,,,,
----,,,,,
39,"9,020",11.2,,,
North American Baptist Conference,Evangelical Protestant,Baptist,2,403,0.5
"Open Bible Standard Churches, Inc.",Evangelical Protestant,Pentecostal,2,35,0
Orthodox Church in America,Orthodox,Eastern Liturgical (Orthodox),2,200,0.2
Orthodox Judaism,Other,Judaism,8,"1,500",1.9
"Orthodox Presbyterian Church, The",Evangelical Protestant,Presbyterian-Reformed,1,58,0.1
Patriarchal Parishes of the Russian Orthodox Church in the USA,Orthodox,Eastern Liturgical (Orthodox),1,800,1
Presbyterian Church (U.S.A.),Mainline Protestant,Presbyterian-Reformed,23,"3,648",4.5
Reconstructionist Judaism,Other,Judaism,1,270,0.3
Reform Judaism,Other,Judaism,4,"9,447",11.7
Reformed Church in America,Mainline Protestant,Presbyterian-Reformed,1,"1,924",2.4
Russian Orthodox Church Outside of Russia,Orthodox,Eastern Liturgical (Orthodox),5,810,1
Salvation Army,Evangelical Protestant,Holiness,7,"1,656",2.1
Serbian Orthodox Church in North America,Orthodox,Eastern Liturgical (Orthodox),1,250,0.3
Seventh-day Adventist Church,Evangelical Protestant,Adventist,10,"1,754",2.2
Sikh,Other,Other Groups,1,---,---
Southern Baptist Convention,Evangelical Protestant,Baptist,44,"5,364",6.7
Swedenborgian Church,Other,Spiritualist,1,---,---
Tao,Other,Other Groups,6,---,---
Ukrainian Orthodox Church of the USA,Orthodox,Eastern Liturgical (Orthodox),1,100,0.1
Unitarian Universalist Association of Congregations,Other,Liberal,1,543,0.7
United Church of Christ,Mainline Protestant,Presbyterian-Reformed,7,"1,273",1.6
"United Methodist Church, The",Mainline Protestant,Methodist/Pietist,12,"39,312",48.8
United Pentecostal Church International,Evangelical Protestant,Pentecostal,4,---,---
"Unity Churches, Association of",Other,Other Groups,2,---,---
Vicariate for the Palestinian/Jordanian Orthodox Christian Communities,Orthodox,Eastern Liturgical (Orthodox),1,"3,750",4.7
Zoroastrian,Other,Other Groups,0,52,0.1
